,precision,recall,f1-score,support
0,0.4166666666666667,0.11363636363636363,0.17857142857142858,44.0
1,0.0,0.0,0.0,44.0
2,0.0,0.0,0.0,32.0
3,0.038461538461538464,0.046511627906976744,0.042105263157894736,43.0
4,0.0,0.0,0.0,42.0
5,0.0,0.0,0.0,40.0
6,0.0,0.0,0.0,39.0
7,0.0,0.0,0.0,45.0
8,0.0,0.0,0.0,41.0
9,0.0,0.0,0.0,33.0
10,0.10810810810810811,0.3157894736842105,0.1610738255033557,38.0
11,0.0,0.0,0.0,40.0
12,0.0,0.0,0.0,42.0
13,0.0,0.0,0.0,41.0
14,0.0,0.0,0.0,43.0
15,0.0,0.0,0.0,36.0
16,0.0,0.0,0.0,45.0
17,0.006756756756756757,0.02564102564102564,0.0106951871657754,39.0
18,0.0,0.0,0.0,42.0
19,0.0,0.0,0.0,42.0
20,0.019230769230769232,0.06521739130434782,0.0297029702970297,46.0
21,0.0,0.0,0.0,40.0
22,0.052083333333333336,0.1282051282051282,0.07407407407407407,39.0
23,0.0,0.0,0.0,42.0
24,0.0,0.0,0.0,43.0
25,0.0,0.0,0.0,35.0
26,0.04878048780487805,0.04878048780487805,0.04878048780487805,41.0
27,0.0,0.0,0.0,42.0
28,0.0,0.0,0.0,41.0
29,0.0,0.0,0.0,44.0
30,0.0,0.0,0.0,34.0
31,0.0,0.0,0.0,44.0
32,0.0,0.0,0.0,41.0
33,0.0,0.0,0.0,41.0
34,0.0,0.0,0.0,38.0
35,0.0,0.0,0.0,41.0
36,0.0,0.0,0.0,42.0
37,0.0,0.0,0.0,40.0
38,0.0,0.0,0.0,39.0
39,0.0,0.0,0.0,44.0
40,0.0,0.0,0.0,46.0
41,0.0,0.0,0.0,34.0
42,0.0,0.0,0.0,36.0
43,0.011152416356877323,0.08571428571428572,0.019736842105263157,35.0
44,0.014814814814814815,0.0625,0.023952095808383235,32.0
45,0.0,0.0,0.0,43.0
46,0.0,0.0,0.0,42.0
47,0.011111111111111112,0.07142857142857142,0.019230769230769232,42.0
48,0.0,0.0,0.0,35.0
49,0.0,0.0,0.0,37.0
50,0.0,0.0,0.0,43.0
51,0.0064516129032258064,0.022727272727272728,0.010050251256281407,44.0
52,0.0,0.0,0.0,41.0
53,0.0,0.0,0.0,45.0
54,0.0,0.0,0.0,44.0
55,0.0,0.0,0.0,41.0
56,0.0,0.0,0.0,39.0
57,0.0,0.0,0.0,37.0
58,0.0,0.0,0.0,46.0
59,0.0,0.0,0.0,29.0
60,0.0,0.0,0.0,35.0
61,0.0,0.0,0.0,36.0
62,0.0,0.0,0.0,43.0
63,0.0,0.0,0.0,38.0
64,0.02074688796680498,0.11363636363636363,0.03508771929824561,44.0
65,0.0,0.0,0.0,45.0
66,0.0,0.0,0.0,42.0
67,0.0,0.0,0.0,43.0
68,0.0,0.0,0.0,40.0
69,0.0,0.0,0.0,44.0
70,0.0,0.0,0.0,38.0
71,0.0,0.0,0.0,44.0
72,0.0,0.0,0.0,37.0
